name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
MT198652.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Valencia003/human/2020/ESP, partial genome	9000103	leaf	29302	121	88	0.0
Trichoderma atroviride mycovirus	1934322	species	8566	74	74	0.0
Serratia phage BF	1962671	leaf	357154	83	73	0.0
Cyanophage Syn30	536474	species	178807	73	71	0.0
Streptococcus phage PH10	644007	species	31276	64	64	0.0
Acinetobacter phage vB_AbaM_ME3	1837876	leaf	234900	64	63	0.0
MT159720.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-4/2020, complete genome	9000079	leaf	29882	74	62	0.0
MT159718.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-2/2020, complete genome	9000077	leaf	29882	83	61	0.0
Vibrio phage nt-1	115992	leaf	247511	68	61	0.0
Pseudomonas phage pf16	1815630	leaf	158136	60	60	0.0
MT198651.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Valencia002/human/2020/ESP, partial genome	9000102	leaf	29611	137	59	0.0
Acanthamoeba polyphaga moumouvirus	1269028	leaf	1021348	60	51	0.0
Cronobacter phage CR9	1162290	leaf	151924	59	42	0.0
MT039890.1 Severe acute respiratory syndrome coronavirus 2 isolate SNU01, complete genome	9000038	leaf	29903	42	41	0.00308095
Paramecium bursaria Chlorella virus FR483	399781	leaf	321240	40	40	0.0
Streptococcus phage M102AD	1587907	species	30664	41	40	0.0
Thermus virus P23-77	1714272	species	17036	38	38	0.0
MT039888.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-MA1/2020, complete genome	9000037	leaf	29882	52	33	0.0
Pepper yellow dwarf virus - Mexico	1987360	species	2971	34	33	0.0
Bacillus phage Moonbeam	1540091	leaf	161239	31	31	0.0
Pepper chlorotic spot virus	1414655	species	16934	31	31	0.0
Streptococcus phage phiARI0131-2	1701814	species	34563	32	31	0.0
